PC_Timestamp,Pico_Timestamp,Pressure,Temperature,Encoder_Degrees
16:52:07.828,5582286490,101243.000,23.800,84922.391
16:52:08.041,5582498471,101242.000,23.800,84922.391
16:52:08.142,5582600492,101243.000,23.810,84922.367
16:52:08.245,5582703477,101243.000,23.800,85075.945
16:52:08.348,5582805484,101242.000,23.800,85077.195
16:52:08.554,5583012478,101242.000,23.810,85077.195
16:52:08.656,5583114482,101239.000,23.800,85077.172
16:52:08.758,5583216486,101242.000,23.800,85230.680
16:52:08.861,5583319484,101241.000,23.810,85232.039
16:52:09.086,5583528482,101244.000,23.810,85232.016
16:52:09.178,5583635483,101241.000,23.800,85311.664
16:52:09.279,5583737481,101240.000,23.800,85386.492
16:52:09.381,5583839478,101242.000,23.800,85386.797
16:52:09.588,5584046475,101243.000,23.810,85386.797
16:52:09.691,5584149488,101242.000,23.800,85435.922
16:52:09.794,5584252485,101238.000,23.800,85541.000
16:52:09.896,5584354486,101240.000,23.810,85541.609
16:52:10.103,5584561487,101241.000,23.810,85541.609
16:52:10.205,5584663485,101239.000,23.800,85691.359
16:52:10.307,5584765485,101239.000,23.810,85695.070
16:52:10.409,5584867480,101244.000,23.800,85696.414
16:52:10.621,5585079477,101244.000,23.810,85696.391
16:52:10.723,5585181484,101239.000,23.800,85840.312
16:52:10.831,5585289482,101239.000,23.790,85849.719
16:52:10.935,5585391493,101242.000,23.800,85851.219
16:52:11.143,5585600474,101242.000,23.810,85851.195
16:52:11.244,5585702487,101242.000,23.810,85998.227
16:52:11.347,5585805482,101240.000,23.800,86004.641
16:52:11.450,5585907484,101241.000,23.810,86006.000
16:52:11.656,5586114481,101239.000,23.810,86005.977
16:52:11.759,5586216482,101241.000,23.800,86010.250
16:52:11.862,5586320493,101239.000,23.800,86159.703
16:52:11.964,5586422479,101241.000,23.800,86160.836
16:52:12.171,5586629475,101242.000,23.810,86160.812
16:52:12.275,5586732482,101241.000,23.800,86298.219
16:52:12.378,5586836507,101241.000,23.800,86313.984
16:52:12.480,5586938480,101243.000,23.800,86315.578
16:52:12.688,5587144477,101240.000,23.810,86315.562
16:52:12.790,5587248504,101239.000,23.800,86451.016
16:52:12.893,5587351484,101238.000,23.810,86468.766
16:52:12.995,5587453482,101241.000,23.800,86470.414
16:52:13.203,5587660476,101242.000,23.800,86470.398
16:52:13.305,5587763483,101239.000,23.800,86619.445
16:52:13.408,5587866494,101242.000,23.800,86623.812
16:52:13.511,5587969497,101237.000,23.800,86625.164
16:52:13.719,5588176484,101241.000,23.800,86625.164
16:52:13.821,5588279486,101240.000,23.800,86741.406
16:52:13.923,5588381493,101242.000,23.800,86778.047
16:52:14.026,5588484492,101241.000,23.800,86779.977
16:52:14.234,5588692481,101243.000,23.810,86779.953
16:52:14.336,5588794483,101244.000,23.810,86907.727
16:52:14.438,5588896487,101243.000,23.810,86933.039
16:52:14.540,5588998485,101242.000,23.800,86934.742
16:52:14.750,5589207486,101240.000,23.800,86934.719
16:52:14.852,5589310484,101242.000,23.800,87015.109
16:52:14.954,5589412490,101241.000,23.800,87089.273
16:52:15.058,5589515491,101242.000,23.800,87089.516
16:52:15.265,5589723484,101242.000,23.810,87089.492
16:52:15.368,5589825482,101241.000,23.800,87089.555
16:52:15.469,5589927489,101243.000,23.800,87243.008
16:52:15.572,5590029486,101242.000,23.800,87244.312
16:52:15.779,5590236479,101241.000,23.810,87244.312
16:52:15.881,5590339480,101239.000,23.800,87382.734
16:52:15.983,5590441483,101242.000,23.800,87397.414
16:52:16.086,5590544489,101237.000,23.800,87399.117
16:52:16.296,5590752477,101241.000,23.810,87399.094
16:52:16.400,5590857482,101238.000,23.800,87506.008
16:52:16.502,5590960479,101239.000,23.800,87553.797
16:52:16.604,5591062482,101242.000,23.800,87553.867
16:52:16.811,5591269479,101240.000,23.800,87553.867
16:52:16.914,5591372481,101240.000,23.800,87699.445
16:52:17.015,5591473479,101240.000,23.800,87707.117
16:52:17.125,5591583494,101238.000,23.790,87708.742
16:52:17.331,5591789473,101243.000,23.800,87708.719
16:52:17.431,5591889483,101241.000,23.810,87855.719
16:52:17.533,5591991491,101240.000,23.800,87861.992
16:52:17.635,5592093483,101239.000,23.810,87863.492
16:52:17.842,5592300474,101240.000,23.810,87863.508
16:52:17.944,5592402482,101241.000,23.800,87967.172
16:52:18.046,5592504480,101242.000,23.800,88016.352
16:52:18.148,5592606485,101237.000,23.810,88018.266
16:52:18.355,5592813477,101241.000,23.800,88018.289
16:52:18.457,5592915481,101240.000,23.810,88138.391
16:52:18.559,5593017482,101239.000,23.810,88138.391
16:52:18.661,5593119481,101240.000,23.810,88172.984
16:52:18.868,5593325473,101240.000,23.810,88173.008
16:52:18.969,5593427486,101237.000,23.810,88247.156
16:52:19.069,5593527483,101241.000,23.810,88327.430
16:52:19.171,5593629482,101243.000,23.810,88327.844
16:52:19.378,5593836476,101242.000,23.810,88327.844
16:52:19.485,5593938499,101241.000,23.800,88360.516
16:52:19.588,5594046487,101238.000,23.800,88481.664
16:52:19.691,5594148487,101240.000,23.800,88482.609
16:52:19.900,5594355477,101243.000,23.810,88482.609
16:52:20.002,5594460486,101240.000,23.800,88589.516
16:52:20.104,5594562491,101242.000,23.800,88635.383
16:52:20.207,5594664497,101235.000,23.810,88635.383
16:52:20.414,5594872483,101241.000,23.810,88637.422
16:52:20.516,5594974484,101240.000,23.810,88700.688
16:52:20.618,5595076491,101237.000,23.810,88791.609
16:52:20.720,5595178487,101243.000,23.800,88792.164
16:52:20.927,5595385489,101243.000,23.810,88792.188
16:52:21.029,5595487481,101239.000,23.810,88940.898
16:52:21.132,5595589488,101244.000,23.810,88945.633
16:52:21.235,5595692489,101242.000,23.800,88947.000
16:52:21.441,5595899481,101240.000,23.810,88947.000
16:52:21.544,5596002480,101240.000,23.800,89093.703
16:52:21.646,5596104486,101241.000,23.810,89100.352
16:52:21.748,5596206479,101239.000,23.810,89101.766
16:52:21.955,5596413483,101243.000,23.810,89101.789
16:52:22.057,5596515484,101240.000,23.800,89138.266
16:52:22.160,5596618479,101242.000,23.810,89255.773
16:52:22.262,5596720481,101240.000,23.800,89256.547
16:52:22.477,5596927483,101243.000,23.810,89256.547
16:52:22.569,5597027482,101242.000,23.810,89259.211
16:52:22.672,5597129489,101238.000,23.810,89410.195
16:52:22.775,5597232484,101242.000,23.800,89411.312
16:52:22.981,5597439482,101241.000,23.800,89411.336
